# 7: BIG_BENCH query19
13 0 0
R8 R9 886
M11 R4 70
R3 R4 68
M6 R2 1516
M7 R8 643
R2 R3 3029
# 14: BIG_BENCH query27
2 13 84
M1 1 BA
R2 1 FL
1
M1 R2 56
# 1: BIG_BENCH query11
7 14 88
M1 1 HK
R4 1 LA
R7 2 BA FL
M5 1 BA
M6 1 BA
R3 1 FL
R2 1 FL
6
M1 R2 9
R7 R3 111
M5 M6 90
M6 R7 223
R3 R4 33
R2 R3 13
# 20: BIG_BENCH query9
9 15 92
R5 1 LA
R4 1 FL
M1 1 BA
M8 1 HK
M9 1 FL
M6 1 NY
R3 1 NY
M7 1 LA
R2 1 FL
8
R4 R5 224
M1 R2 1105
M8 R3 97
M9 R4 111
M6 R2 806
R3 R4 258
M7 R3 97
R2 R3 635
# 19: BIG_BENCH query7
11 16 96
R5 1 BA
M1 1 NY
R4 1 FL
M10 1 LA
R6 1 FL
M8 1 BA
M9 1 NY
M4 1 HK
R3 1 HK
R2 1 FL
M7 1 FL
9
R5 R6 11
M1 R2 1
R4 R5 2877
M10 R4 1434
M8 R3 83
M9 R3 3
R3 R4 1438
R2 R3 3
M7 R2 1
# 3: BIG_BENCH query14
10 17 97
M1 1 HK
M10 1 HK
R7 1 LA
M3 1 NY
M8 1 BA
M9 1 NY
M4 1 LA
M5 1 NY
M6 1 HK
R2 1 BA
9
M1 R2 30
M10 M6 20
R7 R2 1
M3 M1 20
M8 M6 20
M9 M6 20
M4 M1 20
M5 M1 20
M6 R7 60
# 9: BIG_BENCH query20
6 18 102
M1 1 LA
R4 3 HK LA BA
R6 1 FL
M5 1 BA
R3 2 HK BA
R2 3 BA LA HK
5
M1 R2 601
R6 R3 9
M5 R6 47
R3 R4 1870
R2 R3 339
# 10: BIG_BENCH query21
16 19 112
M15 1 HK
M16 1 LA
R5 1 NY
M1 1 LA
M10 1 BA
R4 1 NY
R7 1 BA
R6 1 HK
M13 1 NY
R9 1 BA
M14 1 NY
R8 1 FL
M11 1 HK
M12 1 BA
R3 1 BA
R2 1 HK
15
M15 R6 26
M16 R7 148
R5 R6 26
M1 R2 904
M10 R2 853
R4 R5 915
R7 R8 293
R6 R7 186
M13 R5 1
M14 R6 27
R8 R9 1
M11 R3 1878
M12 R4 916
R3 R4 2734
R2 R3 2640
# 9: BIG_BENCH query20
6 20 113
M1 1 HK
R4 3 NY FL LA
R6 1 NY
M5 1 FL
R3 2 FL BA
R2 3 BA FL LA
5
M1 R2 601
R6 R3 9
M5 R6 47
R3 R4 1870
R2 R3 339
# 6: BIG_BENCH query17
25 21 115
M20 1 BA
M1 1 LA
M21 1 FL
M24 1 NY
M25 1 NY
M22 1 BA
M23 1 HK
M8 1 BA
M9 1 HK
R18 1 HK
R17 1 BA
R16 1 BA
R15 1 HK
R19 1 LA
R5 1 BA
R4 1 HK
M10 1 FL
R7 1 BA
R6 1 NY
M13 1 HK
M14 1 NY
M11 1 BA
M12 1 BA
R3 1 FL
R2 1 FL
24
M20 R15 2044
M1 R2 2478
M21 R16 33
M24 R17 20
M25 R18 43
M22 R16 32
M23 R16 32
M8 R2 2301
M9 R3 10
R18 R19 87
R17 R18 63
R16 R17 84
R15 R16 1053
R19 R6 1
R5 R6 1
R4 R5 53
M10 R3 9
R6 R7 1
M13 R5 1
M14 R15 2222
M11 R3 9
M12 R4 54
R3 R4 73
R2 R3 1159
# 12: BIG_BENCH query24
19 22 120
R17 3 LA BA FL
M18 1 LA
R16 2 FL NY
R15 1 LA
M19 1 NY
R10 3 NY HK FL
R4 3 FL LA BA
M1 1 FL
R7 1 HK
R9 3 LA FL HK
R14 1 FL
M13 1 HK
R8 1 FL
M11 1 NY
M12 1 FL
M5 1 LA
R3 1 HK
M6 1 FL
R2 1 HK
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 12: BIG_BENCH query24
19 23 132
R17 3 BA LA FL
M18 1 HK
R16 2 BA FL
R15 1 LA
M19 1 FL
R10 3 BA NY LA
R4 3 BA FL LA
M1 1 FL
R7 1 NY
R9 3 BA NY HK
R14 1 NY
M13 1 FL
R8 1 NY
M11 1 HK
M12 1 BA
M5 1 FL
R3 1 HK
M6 1 LA
R2 1 BA
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 4: BIG_BENCH query15
6 24 143
R5 1 FL
R4 1 BA
M1 1 FL
M2 1 LA
M6 1 FL
R3 1 NY
5
R4 R5 172
M1 M2 179
M2 R3 89
M6 R3 1
R3 R4 172
# 3: BIG_BENCH query14
10 25 151
M1 1 HK
M10 1 NY
R7 1 LA
M3 1 LA
M8 1 LA
M9 1 NY
M4 1 NY
M5 1 LA
M6 1 HK
R2 1 HK
9
M1 R2 30
M10 M6 20
R7 R2 1
M3 M1 20
M8 M6 20
M9 M6 20
M4 M1 20
M5 M1 20
M6 R7 60
# 13: BIG_BENCH query26
4 26 152
M1 1 BA
M4 1 BA
R3 2 NY LA
R2 1 FL
3
M1 R2 1154
M4 R2 497
R2 R3 1227
# 17: BIG_BENCH query4
5 27 157
M1 1 HK
R4 1 BA
M5 1 NY
R3 1 LA
R2 1 NY
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 17: BIG_BENCH query4
5 28 159
M1 1 HK
R4 1 LA
M5 1 FL
R3 1 HK
R2 1 LA
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 13: BIG_BENCH query26
4 29 159
M1 1 NY
M4 1 NY
R3 2 NY HK
R2 1 FL
3
M1 R2 1154
M4 R2 497
R2 R3 1227
# 2: BIG_BENCH query12
9 30 159
R5 1 HK
R4 1 HK
M1 1 HK
R8 1 BA
M9 1 LA
R3 1 LA
M6 1 NY
R2 1 FL
M7 1 NY
8
R4 R5 1
M1 R2 634
R8 R3 53
M9 R8 35
R3 R4 35
M6 R2 34
R2 R3 51
M7 R8 54
# 0: BIG_BENCH query10
2 31 159
M1 1 BA
R2 1 NY
1
M1 R2 56
# 1: BIG_BENCH query11
7 32 160
M1 1 NY
R4 1 FL
R7 2 BA FL
M5 1 LA
M6 1 NY
R3 1 LA
R2 1 HK
6
M1 R2 9
R7 R3 111
M5 M6 90
M6 R7 223
R3 R4 33
R2 R3 13
# 14: BIG_BENCH query27
2 33 160
M1 1 LA
R2 1 FL
1
M1 R2 56
# 8: BIG_BENCH query1
6 34 162
R5 1 HK
R4 1 HK
M1 1 BA
M6 1 HK
R3 1 LA
R2 1 NY
5
R4 R5 72
M1 R2 242
M6 R2 213
R3 R4 170
R2 R3 524
# 6: BIG_BENCH query17
25 35 163
M20 1 HK
M1 1 NY
M21 1 BA
M24 1 LA
M25 1 FL
M22 1 FL
M23 1 HK
M8 1 BA
M9 1 FL
R18 1 HK
R17 1 BA
R16 1 LA
R15 1 BA
R19 1 FL
R5 1 BA
R4 1 NY
M10 1 FL
R7 1 FL
R6 1 BA
M13 1 LA
M14 1 FL
M11 1 NY
M12 1 BA
R3 1 LA
R2 1 HK
24
M20 R15 2044
M1 R2 2478
M21 R16 33
M24 R17 20
M25 R18 43
M22 R16 32
M23 R16 32
M8 R2 2301
M9 R3 10
R18 R19 87
R17 R18 63
R16 R17 84
R15 R16 1053
R19 R6 1
R5 R6 1
R4 R5 53
M10 R3 9
R6 R7 1
M13 R5 1
M14 R15 2222
M11 R3 9
M12 R4 54
R3 R4 73
R2 R3 1159
# 19: BIG_BENCH query7
11 36 164
R5 1 NY
M1 1 BA
R4 1 FL
M10 1 LA
R6 1 LA
M8 1 HK
M9 1 BA
M4 1 LA
R3 1 FL
R2 1 HK
M7 1 HK
9
R5 R6 11
M1 R2 1
R4 R5 2877
M10 R4 1434
M8 R3 83
M9 R3 3
R3 R4 1438
R2 R3 3
M7 R2 1
# 12: BIG_BENCH query24
19 37 169
R17 3 NY FL HK
M18 1 BA
R16 2 NY BA
R15 1 HK
M19 1 HK
R10 3 LA NY FL
R4 3 BA NY HK
M1 1 HK
R7 1 LA
R9 3 NY BA FL
R14 1 NY
M13 1 LA
R8 1 NY
M11 1 BA
M12 1 FL
M5 1 HK
R3 1 LA
M6 1 LA
R2 1 BA
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 14: BIG_BENCH query27
2 38 200
M1 1 HK
R2 1 BA
1
M1 R2 56
# 12: BIG_BENCH query24
19 39 200
R17 3 NY FL BA
M18 1 HK
R16 2 HK FL
R15 1 HK
M19 1 HK
R10 3 LA HK FL
R4 3 FL NY BA
M1 1 FL
R7 1 LA
R9 3 LA NY FL
R14 1 NY
M13 1 LA
R8 1 BA
M11 1 NY
M12 1 FL
M5 1 LA
R3 1 HK
M6 1 NY
R2 1 LA
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 12: BIG_BENCH query24
19 40 200
R17 3 BA NY FL
M18 1 FL
R16 2 HK LA
R15 1 BA
M19 1 NY
R10 3 HK NY FL
R4 3 HK FL LA
M1 1 HK
R7 1 LA
R9 3 HK BA FL
R14 1 LA
M13 1 HK
R8 1 HK
M11 1 FL
M12 1 FL
M5 1 LA
R3 1 FL
M6 1 BA
R2 1 FL
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 13: BIG_BENCH query26
4 41 200
M1 1 LA
M4 1 BA
R3 2 BA FL
R2 1 LA
3
M1 R2 1154
M4 R2 497
R2 R3 1227
# 9: BIG_BENCH query20
6 42 201
M1 1 NY
R4 3 HK BA NY
R6 1 LA
M5 1 HK
R3 2 LA NY
R2 3 LA NY HK
5
M1 R2 601
R6 R3 9
M5 R6 47
R3 R4 1870
R2 R3 339
# 1: BIG_BENCH query11
7 43 201
M1 1 LA
R4 1 HK
R7 2 FL LA
M5 1 NY
M6 1 BA
R3 1 FL
R2 1 FL
6
M1 R2 9
R7 R3 111
M5 M6 90
M6 R7 223
R3 R4 33
R2 R3 13
# 0: BIG_BENCH query10
2 44 201
M1 1 NY
R2 1 LA
1
M1 R2 56
# 14: BIG_BENCH query27
2 45 202
M1 1 NY
R2 1 HK
1
M1 R2 56
# 17: BIG_BENCH query4
5 46 202
M1 1 BA
R4 1 FL
M5 1 BA
R3 1 NY
R2 1 LA
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 18: BIG_BENCH query6
11 47 203
R5 1 FL
R4 1 LA
M10 1 BA
M1 1 BA
R9 1 BA
R8 2 FL BA
M11 1 HK
R3 1 BA
M6 1 BA
M7 1 NY
R2 1 NY
10
R4 R5 207
M10 R8 393
M1 R2 1514
R9 R4 101
R8 R9 886
M11 R4 70
R3 R4 68
M6 R2 1516
M7 R8 643
R2 R3 3029
# 14: BIG_BENCH query27
2 48 203
M1 1 FL
R2 1 HK
1
M1 R2 56
# 17: BIG_BENCH query4
5 49 205
M1 1 NY
R4 1 FL
M5 1 LA
R3 1 BA
R2 1 LA
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 13: BIG_BENCH query26
4 50 207
M1 1 LA
M4 1 HK
R3 2 HK LA
R2 1 BA
3
M1 R2 1154
M4 R2 497
R2 R3 1227
# 1: BIG_BENCH query11
7 51 226
M1 1 HK
R4 1 LA
R7 2 NY BA
M5 1 HK
M6 1 FL
R3 1 BA
R2 1 FL
6
M1 R2 9
R7 R3 111
M5 M6 90
M6 R7 223
R3 R4 33
R2 R3 13
# 14: BIG_BENCH query27
2 52 237
M1 1 NY
R2 1 NY
1
M1 R2 56
# 11: BIG_BENCH query22
7 53 239
M1 1 NY
R4 1 HK
M5 1 LA
M6 1 HK
R3 1 BA
M7 1 FL
R2 1 NY
6
M1 R2 1276
M5 R2 1113
M6 R2 1113
R3 R4 2
M7 R2 1113
R2 R3 4456
# 6: BIG_BENCH query17
25 54 247
M20 1 HK
M1 1 HK
M21 1 HK
M24 1 HK
M25 1 FL
M22 1 BA
M23 1 HK
M8 1 FL
M9 1 FL
R18 1 HK
R17 1 LA
R16 1 NY
R15 1 HK
R19 1 BA
R5 1 NY
R4 1 HK
M10 1 HK
R7 1 HK
R6 1 HK
M13 1 HK
M14 1 NY
M11 1 LA
M12 1 FL
R3 1 NY
R2 1 HK
24
M20 R15 2044
M1 R2 2478
M21 R16 33
M24 R17 20
M25 R18 43
M22 R16 32
M23 R16 32
M8 R2 2301
M9 R3 10
R18 R19 87
R17 R18 63
R16 R17 84
R15 R16 1053
R19 R6 1
R5 R6 1
R4 R5 53
M10 R3 9
R6 R7 1
M13 R5 1
M14 R15 2222
M11 R3 9
M12 R4 54
R3 R4 73
R2 R3 1159
# 3: BIG_BENCH query14
10 55 251
M1 1 LA
M10 1 LA
R7 1 HK
M3 1 BA
M8 1 FL
M9 1 NY
M4 1 HK
M5 1 FL
M6 1 FL
R2 1 BA
9
M1 R2 30
M10 M6 20
R7 R2 1
M3 M1 20
M8 M6 20
M9 M6 20
M4 M1 20
M5 M1 20
M6 R7 60
# 16: BIG_BENCH query3
7 56 256
R5 1 BA
R4 1 HK
M1 1 FL
R6 1 HK
R3 1 LA
R2 1 LA
M7 1 FL
6
R5 R6 11
R4 R5 13
M1 R2 12244
R3 R4 15
R2 R3 3487
M7 R3 6
# 11: BIG_BENCH query22
7 57 276
M1 1 FL
R4 1 FL
M5 1 BA
M6 1 FL
R3 1 LA
M7 1 LA
R2 1 FL
6
M1 R2 1276
M5 R2 1113
M6 R2 1113
R3 R4 2
M7 R2 1113
R2 R3 4456
# 16: BIG_BENCH query3
7 58 287
R5 1 BA
R4 1 BA
M1 1 BA
R6 1 NY
R3 1 NY
R2 1 LA
M7 1 FL
6
R5 R6 11
R4 R5 13
M1 R2 12244
R3 R4 15
R2 R3 3487
M7 R3 6
# 14: BIG_BENCH query27
2 59 299
M1 1 FL
R2 1 LA
1
M1 R2 56
# 3: BIG_BENCH query14
10 60 343
M1 1 BA
M10 1 NY
R7 1 BA
M3 1 LA
M8 1 BA
M9 1 FL
M4 1 BA
M5 1 NY
M6 1 LA
R2 1 HK
9
M1 R2 30
M10 M6 20
R7 R2 1
M3 M1 20
M8 M6 20
M9 M6 20
M4 M1 20
M5 M1 20
M6 R7 60
# 7: BIG_BENCH query19
13 61 344
R5 1 FL
M1 1 FL
M10 1 HK
R7 1 BA
M3 1 FL
R6 1 LA
R9 1 BA
M13 1 LA
R12 1 BA
M11 1 LA
M8 1 LA
M4 1 NY
R2 1 NY
12
R5 R6 530
M1 R2 1
M10 R9 1
M3 R2 1
R6 R7 1598
R9 M11 10
M13 R6 535
R12 R6 535
M11 R12 25
M8 R9 1
M4 R5 100
R2 M4 100
# 14: BIG_BENCH query27
2 62 344
M1 1 NY
R2 1 BA
1
M1 R2 56
# 6: BIG_BENCH query17
25 63 345
M20 1 LA
M1 1 BA
M21 1 LA
M24 1 BA
M25 1 BA
M22 1 HK
M23 1 FL
M8 1 LA
M9 1 LA
R18 1 FL
R17 1 HK
R16 1 NY
R15 1 BA
R19 1 BA
R5 1 FL
R4 1 BA
M10 1 BA
R7 1 FL
R6 1 FL
M13 1 BA
M14 1 HK
M11 1 BA
M12 1 LA
R3 1 HK
R2 1 NY
24
M20 R15 2044
M1 R2 2478
M21 R16 33
M24 R17 20
M25 R18 43
M22 R16 32
M23 R16 32
M8 R2 2301
M9 R3 10
R18 R19 87
R17 R18 63
R16 R17 84
R15 R16 1053
R19 R6 1
R5 R6 1
R4 R5 53
M10 R3 9
R6 R7 1
M13 R5 1
M14 R15 2222
M11 R3 9
M12 R4 54
R3 R4 73
R2 R3 1159
# 12: BIG_BENCH query24
19 64 345
R17 3 NY HK BA
M18 1 HK
R16 2 NY FL
R15 1 HK
M19 1 HK
R10 3 LA NY FL
R4 3 HK BA FL
M1 1 LA
R7 1 LA
R9 3 FL LA BA
R14 1 HK
M13 1 LA
R8 1 NY
M11 1 NY
M12 1 HK
M5 1 LA
R3 1 NY
M6 1 BA
R2 1 FL
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 8: BIG_BENCH query1
6 65 345
R5 1 BA
R4 1 FL
M1 1 NY
M6 1 LA
R3 1 HK
R2 1 LA
5
R4 R5 72
M1 R2 242
M6 R2 213
R3 R4 170
R2 R3 524
# 14: BIG_BENCH query27
2 66 347
M1 1 LA
R2 1 LA
1
M1 R2 56
# 6: BIG_BENCH query17
25 67 348
M20 1 HK
M1 1 FL
M21 1 NY
M24 1 NY
M25 1 FL
M22 1 LA
M23 1 LA
M8 1 HK
M9 1 NY
R18 1 HK
R17 1 NY
R16 1 LA
R15 1 LA
R19 1 BA
R5 1 NY
R4 1 NY
M10 1 LA
R7 1 NY
R6 1 LA
M13 1 BA
M14 1 FL
M11 1 HK
M12 1 NY
R3 1 BA
R2 1 BA
24
M20 R15 2044
M1 R2 2478
M21 R16 33
M24 R17 20
M25 R18 43
M22 R16 32
M23 R16 32
M8 R2 2301
M9 R3 10
R18 R19 87
R17 R18 63
R16 R17 84
R15 R16 1053
R19 R6 1
R5 R6 1
R4 R5 53
M10 R3 9
R6 R7 1
M13 R5 1
M14 R15 2222
M11 R3 9
M12 R4 54
R3 R4 73
R2 R3 1159
# 17: BIG_BENCH query4
5 68 351
M1 1 BA
R4 1 NY
M5 1 FL
R3 1 BA
R2 1 FL
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 2: BIG_BENCH query12
9 69 352
R5 1 NY
R4 1 HK
M1 1 FL
R8 1 FL
M9 1 LA
R3 1 NY
M6 1 FL
R2 1 NY
M7 1 LA
8
R4 R5 1
M1 R2 634
R8 R3 53
M9 R8 35
R3 R4 35
M6 R2 34
R2 R3 51
M7 R8 54
# 19: BIG_BENCH query7
11 70 353
R5 1 FL
M1 1 NY
R4 1 BA
M10 1 BA
R6 1 BA
M8 1 FL
M9 1 HK
M4 1 LA
R3 1 NY
R2 1 LA
M7 1 LA
9
R5 R6 11
M1 R2 1
R4 R5 2877
M10 R4 1434
M8 R3 83
M9 R3 3
R3 R4 1438
R2 R3 3
M7 R2 1
# 10: BIG_BENCH query21
16 71 356
M15 1 BA
M16 1 NY
R5 1 BA
M1 1 HK
M10 1 FL
R4 1 LA
R7 1 LA
R6 1 HK
M13 1 NY
R9 1 LA
M14 1 FL
R8 1 NY
M11 1 LA
M12 1 HK
R3 1 BA
R2 1 LA
15
M15 R6 26
M16 R7 148
R5 R6 26
M1 R2 904
M10 R2 853
R4 R5 915
R7 R8 293
R6 R7 186
M13 R5 1
M14 R6 27
R8 R9 1
M11 R3 1878
M12 R4 916
R3 R4 2734
R2 R3 2640
# 17: BIG_BENCH query4
5 72 359
M1 1 NY
R4 1 HK
M5 1 LA
R3 1 LA
R2 1 LA
4
M1 R2 6627
M5 M1 2177
R3 R4 9397
R2 R3 13848
# 12: BIG_BENCH query24
19 73 362
R17 3 HK NY FL
M18 1 BA
R16 2 HK FL
R15 1 BA
M19 1 HK
R10 3 NY LA HK
R4 3 FL NY HK
M1 1 HK
R7 1 BA
R9 3 FL NY LA
R14 1 HK
M13 1 FL
R8 1 LA
M11 1 HK
M12 1 NY
M5 1 LA
R3 1 FL
M6 1 FL
R2 1 BA
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 9: BIG_BENCH query20
6 74 367
M1 1 FL
R4 3 FL HK LA
R6 1 LA
M5 1 HK
R3 2 FL LA
R2 3 BA NY HK
5
M1 R2 601
R6 R3 9
M5 R6 47
R3 R4 1870
R2 R3 339
# 12: BIG_BENCH query24
19 75 379
R17 3 LA BA HK
M18 1 BA
R16 2 NY LA
R15 1 FL
M19 1 BA
R10 3 HK BA NY
R4 3 LA FL NY
M1 1 BA
R7 1 FL
R9 3 FL LA BA
R14 1 NY
M13 1 HK
R8 1 BA
M11 1 LA
M12 1 LA
M5 1 NY
R3 1 HK
M6 1 LA
R2 1 NY
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 3: BIG_BENCH query14
10 76 379
M1 1 BA
M10 1 LA
R7 1 LA
M3 1 HK
M8 1 HK
M9 1 LA
M4 1 FL
M5 1 LA
M6 1 FL
R2 1 FL
9
M1 R2 30
M10 M6 20
R7 R2 1
M3 M1 20
M8 M6 20
M9 M6 20
M4 M1 20
M5 M1 20
M6 R7 60
# 12: BIG_BENCH query24
19 77 383
R17 3 NY LA HK
M18 1 FL
R16 2 NY HK
R15 1 FL
M19 1 FL
R10 3 NY BA LA
R4 3 FL NY BA
M1 1 BA
R7 1 LA
R9 3 BA HK NY
R14 1 BA
M13 1 BA
R8 1 HK
M11 1 HK
M12 1 FL
M5 1 BA
R3 1 HK
M6 1 NY
R2 1 FL
18
R17 R4 146
M18 R14 1
R16 R17 3506
R15 R16 1702
M19 R16 1761
R10 R4 443
M1 R2 1
R7 R8 1
R9 R10 1524
R14 R15 2
M13 R14 1
R8 R9 362
M11 R7 1
M12 R9 412
M5 R2 1
R3 R4 33
M6 R7 1
R2 R3 1
# 0: BIG_BENCH query10
2 78 384
M1 1 NY
R2 1 BA
1
M1 R2 56
# 11: BIG_BENCH query22
7 79 385
M1 1 HK
R4 1 BA
M5 1 HK
M6 1 FL
R3 1 NY
M7 1 NY
R2 1 LA
6
M1 R2 1276
M5 R2 1113
M6 R2 1113
R3 R4 2
M7 R2 1113
R2 R3 4456
# 18: BIG_BENCH query6
11 80 395
R5 1 FL
R4 1 BA
M10 1 NY
M1 1 FL
R9 1 FL
R8 2 FL LA
M11 1 HK
R3 1 LA
M6 1 HK
M7 1 NY
R2 1 BA
10
R4 R5 207
M10 R8 393
M1 R2 1514
R9 R4 101
R8 R9 886
M11 R4 70
R3 R4 68
M6 R2 1516
M7 R8 643
R2 R3 3029
# 13: BIG_BENCH query26
4 81 398
M1 1 FL
M4 1 BA
R3 2 FL BA
R2 1 BA
3
M1 R2 1154
